"Node ID","Latency","Node Type","Node"
"197","3","NodeEvalStreamOffset","EvalStreamOffset(loopLength)"
"19","3","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"18","3","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"16","4","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"15","4","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"136","4","NodeEq","=="
"140","5","NodeReinterpret","<{HWRawBits:1}>"
"138","4","NodeEq","=="
"141","5","NodeReinterpret","<{HWRawBits:1}>"
"139","5","NodeAnd","&"
"142","6","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"147","6","NodeReinterpret","<{HWRawBits:1}>"
"144","3","NodeSub","-"
"145","4","NodeEq","=="
"148","6","NodeReinterpret","<{HWRawBits:1}>"
"146","6","NodeAnd","&"
"149","7","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"153","7","NodeReinterpret","<{HWRawBits:1}>"
"152","7","NodeAnd","&"
"155","7","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"60","4","NodeEq","=="
"198","112","NodeStreamOffset","stream offset: -loopLength"
"114","3","NodeEq","=="
"180","4","NodeRAM","RAM(RAM_TWO_PORT)"
"62","6","NodeMux","MUX"
"68","7","NodeMul","*"
"69","15","NodeMul","*"
"70","23","NodeAdd","+"
"72","19","NodeMul","*"
"21","4","NodeEq","=="
"26","5","NodeReinterpret","<{HWRawBits:1}>"
"23","3","NodeSub","-"
"24","4","NodeEq","=="
"27","5","NodeReinterpret","<{HWRawBits:1}>"
"25","5","NodeAnd","&"
"28","6","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"32","6","NodeReinterpret","<{HWRawBits:1}>"
"31","6","NodeAnd","&"
"34","6","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"35","6","NodeInput","Input(r1)"
"54","11","NodeMul","*"
"73","27","NodeMul","*"
"74","35","NodeAdd","+"
"76","23","NodeMul","*"
"77","19","NodeMul","*"
"78","27","NodeSub","-"
"79","39","NodeMul","*"
"80","47","NodeAdd","+"
"84","59","NodeMul","*"
"85","67","NodeMul","*"
"86","75","NodeAdd","+"
"88","63","NodeMul","*"
"37","4","NodeEq","=="
"42","5","NodeReinterpret","<{HWRawBits:1}>"
"39","3","NodeSub","-"
"40","4","NodeEq","=="
"43","5","NodeReinterpret","<{HWRawBits:1}>"
"41","5","NodeAnd","&"
"44","6","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"48","6","NodeReinterpret","<{HWRawBits:1}>"
"47","6","NodeAnd","&"
"50","6","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"51","14","NodeInput","Input(r2)"
"57","19","NodeMul","*"
"89","71","NodeMul","*"
"90","87","NodeAdd","+"
"92","83","NodeMul","*"
"93","71","NodeMul","*"
"94","79","NodeSub","-"
"95","91","NodeMul","*"
"96","99","NodeAdd","+"
"97","111","NodeMux","MUX"
"119","112","NodeSub","-"
"120","124","NodeGt",">"
"121","126","NodeMux","MUX"
"123","127","NodeMul","*"
"64","4","NodeEq","=="
"199","112","NodeStreamOffset","stream offset: -loopLength"
"117","3","NodeEq","=="
"181","4","NodeRAM","RAM(RAM_TWO_PORT)"
"66","6","NodeMux","MUX"
"99","19","NodeMul","*"
"100","27","NodeMul","*"
"101","35","NodeAdd","+"
"103","31","NodeMul","*"
"58","27","NodeAdd","+"
"104","39","NodeMul","*"
"105","47","NodeAdd","+"
"107","35","NodeMul","*"
"108","39","NodeMul","*"
"109","47","NodeSub","-"
"110","59","NodeMul","*"
"111","67","NodeAdd","+"
"125","112","NodeSub","-"
"126","124","NodeGt",">"
"127","126","NodeMux","MUX"
"129","127","NodeMul","*"
"132","135","NodeSub","-"
"133","147","NodeMux","MUX"
"156","148","NodeOutput","Output(diff)"
"159","4","NodeEq","=="
"163","5","NodeReinterpret","<{HWRawBits:1}>"
"161","4","NodeEq","=="
"164","5","NodeReinterpret","<{HWRawBits:1}>"
"162","5","NodeAnd","&"
"165","6","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"170","6","NodeReinterpret","<{HWRawBits:1}>"
"167","3","NodeSub","-"
"168","4","NodeEq","=="
"171","6","NodeReinterpret","<{HWRawBits:1}>"
"169","6","NodeAnd","&"
"172","7","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"176","7","NodeReinterpret","<{HWRawBits:1}>"
"175","7","NodeAnd","&"
"178","7","NodeReinterpret","<{HWOffsetFix:1, 0, UNSIGNED}>"
"179","135","NodeOutput","Output(fine)"
"184","147","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"185","147","NodeStreamOffset","stream offset: 1"
"187","148","NodeOutputMappedReg","Scalar output (current_run_cycle_count)"
"190","0","NodeCounterV1","Counter(NUMERIC_INCREMENTING)\nInc: 1\nReset: 0\nInit: 0"
"193","0","NodeEq","=="
"191","1","NodeFlush","flush on trigger"
